Faculty,Department,Level,Semester,Course Code,Course Title,Unit,Course Type,Prerequisite,Interest Area
Faculty of Computing and Sciences,Computer Science,100,First Semester,CSC101,Introduction to Computer Science,2,Compulsory,None,General Computing
Faculty of Computing and Sciences,Computer Science,100,First Semester,CSC103,Computer Application Packages,2,Compulsory,None,General Computing
Faculty of Computing and Sciences,Computer Science,100,First Semester,MTH101,Elementary Mathematics I,3,Compulsory,None,Mathematics
Faculty of Computing and Sciences,Computer Science,100,First Semester,PHY101,General Physics I,3,Compulsory,None,Physics
Faculty of Computing and Sciences,Computer Science,100,First Semester,STA101,Introduction to Statistics,2,Compulsory,None,Statistics
Faculty of Computing and Sciences,Computer Science,100,First Semester,GST101,Use of English I,2,Compulsory,None,General Studies
Faculty of Computing and Sciences,Computer Science,100,First Semester,GST103,Nigerian Peoples and Culture,2,Compulsory,None,General Studies

Faculty of Computing and Sciences,Computer Science,100,Second Semester,CSC102,Programming Fundamentals,3,Compulsory,None,Programming
Faculty of Computing and Sciences,Computer Science,100,Second Semester,CSC104,Computer Practical,2,Compulsory,CSC101,General Computing
Faculty of Computing and Sciences,Computer Science,100,Second Semester,MTH102,Elementary Mathematics II,3,Compulsory,MTH101,Mathematics
Faculty of Computing and Sciences,Computer Science,100,Second Semester,PHY102,General Physics II,3,Compulsory,PHY101,Physics
Faculty of Computing and Sciences,Computer Science,100,Second Semester,STA102,Probability and Statistics,2,Compulsory,STA101,Statistics
Faculty of Computing and Sciences,Computer Science,100,Second Semester,GST102,Use of English II,2,Compulsory,GST101,General Studies
Faculty of Computing and Sciences,Computer Science,100,Second Semester,GST104,Logic Philosophy and Human Existence,2,Compulsory,None,General Studies

Faculty of Computing and Sciences,Computer Science,200,First Semester,CSC201,Object Oriented Programming,3,Compulsory,CSC102,Programming
Faculty of Computing and Sciences,Computer Science,200,First Semester,CSC203,Discrete Structures,3,Compulsory,MTH102,Mathematics
Faculty of Computing and Sciences,Computer Science,200,First Semester,CSC205,Computer Organization and Architecture,3,Compulsory,CSC101,Computer Architecture
Faculty of Computing and Sciences,Computer Science,200,First Semester,CSC207,Computer Laboratory I,1,Compulsory,CSC104,Practical Computing
Faculty of Computing and Sciences,Computer Science,200,First Semester,MTH201,Linear Algebra,3,Compulsory,MTH102,Mathematics
Faculty of Computing and Sciences,Computer Science,200,First Semester,GST201,Entrepreneurship Studies I,2,Compulsory,None,Entrepreneurship
Faculty of Computing and Sciences,Computer Science,200,First Semester,STA201,Statistical Methods,2,Compulsory,STA102,Statistics

Faculty of Computing and Sciences,Computer Science,200,Second Semester,CSC202,Data Structures,3,Compulsory,CSC201,Programming
Faculty of Computing and Sciences,Computer Science,200,Second Semester,CSC204,Operating Systems,3,Compulsory,CSC205,Operating Systems
Faculty of Computing and Sciences,Computer Science,200,Second Semester,CSC206,System Analysis and Design,3,Compulsory,CSC201,System Design
Faculty of Computing and Sciences,Computer Science,200,Second Semester,CSC208,Computer Laboratory II,1,Compulsory,CSC207,Practical Computing
Faculty of Computing and Sciences,Computer Science,200,Second Semester,CSC210,Computer Networks I,3,Compulsory,CSC205,Networking
Faculty of Computing and Sciences,Computer Science,200,Second Semester,STA202,Probability and Statistics,3,Compulsory,STA201,Statistics
Faculty of Computing and Sciences,Computer Science,200,Second Semester,GST202,Entrepreneurship Studies II,2,Compulsory,GST201,Entrepreneurship

Faculty of Computing and Sciences,Computer Science,300,First Semester,CSC301,Database Management System,3,Compulsory,CSC202,Database
Faculty of Computing and Sciences,Computer Science,300,First Semester,CSC303,Computer Networks,3,Compulsory,CSC204,Networking
Faculty of Computing and Sciences,Computer Science,300,First Semester,CSC305,Software Engineering,3,Compulsory,CSC206,Software Development
Faculty of Computing and Sciences,Computer Science,300,First Semester,CSC307,Algorithm Design and Analysis,3,Compulsory,CSC202,Programming
Faculty of Computing and Sciences,Computer Science,300,First Semester,CSC309,Web Design and Internet Programming,3,Elective,CSC201,Web Development
Faculty of Computing and Sciences,Computer Science,300,First Semester,CSC311,Numerical Methods,3,Compulsory,MTH201,Mathematics
Faculty of Computing and Sciences,Computer Science,300,First Semester,CSC313,Computer Laboratory III,1,Compulsory,CSC208,Practical Computing

Faculty of Computing and Sciences,Computer Science,300,Second Semester,CSC302,Web Application Development,3,Elective,CSC309,Web Development
Faculty of Computing and Sciences,Computer Science,300,Second Semester,CSC304,Computer Graphics,3,Elective,CSC202,Graphics
Faculty of Computing and Sciences,Computer Science,300,Second Semester,CSC306,Compiler Construction,3,Compulsory,CSC307,Programming
Faculty of Computing and Sciences,Computer Science,300,Second Semester,CSC308,Mobile Application Development,3,Elective,CSC201,Mobile Development
Faculty of Computing and Sciences,Computer Science,300,Second Semester,CSC310,Research Methodology in Computing,2,Compulsory,None,Research
Faculty of Computing and Sciences,Computer Science,300,Second Semester,CSC312,Computer Laboratory IV,1,Compulsory,CSC313,Practical Computing
